Plaintext,Ciphertext,Algorithm
qJ2KdzgSkdn0qE1OgCVvqxxJJ7ZqwbAhw3R9MmKKPPIlXswuRGFXVC4fyNsDO9j3kOZ7vAONKz26efkvouuPsTrMPzr4CX38xVLH9CAkl2biUpQq8VSVfnkzgge74EJdb,tm2ngcjvngq0th1rjfyytaamm7ctzedkz3u9ppnnssloavzxujiayf4ibqvgr9m3nrc7ydrqnc26hinyrxxsvwupscu4fa38ayok9fdno2elxstt8yvyiqncjjh74hmge,Compressocrat
iiH1kbcQw36u3ED3I7rJCi8SIlLMDOVO4KBHOOIt6wEIoZfCtxAqjtaaH0W2iwsEIaS7F8WEtaXBZsMoYaJxmA4JBzpkTVPy1yoqfBOpHWZ6NZSRrsPVIZrAm2elishODNCrSNFmubjdIblgsriTCU,llk1neftz36x3hg3l7umfl8vloopgryr4nekrrlw6zhlrcifwadtmwddk0z2lzvhldv7i8zhwdaecvprbdmapd4mecsnwysb1brtierskzc6qcvuuvsylcudp2holvkrgqfuvqipxemgleojvulwfx,Compressocrat
YZFxDSYcvf1W8jdrXzeIElm51q0y1ahXTpyXCpVcmDVXgHQnEyR9t7ukOUcV7JHhqEOtmx4d3QnhpOBuakYrLhzYpacLYSESMjxXfpkFfRNv7WOddwPjSIYgiFouJYPWw,1qmk4hfj ZXXQJpLNFcmpttYjdWv5V7mrxwwf1cuxLXP j1XcQpFY 8yVU3YkI DIyyquEWJFzTnHOYvoSEXREaSOYYlC9OkMdPdagVnafg YrhH7hcRixepEhBS7uW0DOdzpS ,Complete Columnar Transposition
lIwuUDr31M63JkeHjCs0qIxDaXOGyUl4bN2xXNpuUeQ9I0ymHRFXJjNsuAPuhgHQec18il3cmgFmgcKP1yQFHNSLqdxoMTea76nPF741fDZOdxJV84A0xYTd0NrHcUe1te8n9HggUoIymmHQpK,olzxxgu31p63mnhkmfv0tlagdarjbxo4eq2aaqsxxht9l0bpkuiammqvxdsxkjkthf18lo3fpjipjfns1btikqvotgarpwhd76qsi741igcrgamy84d0abwg0qukfxh1wh8q9kjjxrlbppktsn,Compressocrat
kYlJzGvQkIMC7w5uJu2xAWOB0UuMpKInyXJ7Vqx9CC9zaUcsMbHi4taton2ubX08S0r6JGJK7KjgcDwjiqx4LpoqZtfKzK6nUeUuYElF05SSK06gMPtc,JunUuKqEcz2ycbjZl lJIa27oYtIBqi0jKS wMCtG4eg CU9t6qn0 QW7b8DK5 kOVHSwzS vAJM0cf0 M0x4ri6K GxXsXgtF k5p9oJLUM7uCaJxU6 YuKznKpuP,Complete Columnar Transposition
HcuIKjuGSojdRUzCWMKGfoBsYzjivfEKVdJzqfzGBXSiWiEJmFzPKmJNVHpperXBuR7KfhQABxwmuwMPbXtkwN0ZCNjCc70omRxjWU2fhVdp8N7j310savSZhtCEbvnVI,kfxlnmxjvrmguxcfzpnjirevbcmlyihnygmcticjeavlzlhmpicsnpmqyksshuaexu7niktdeazpxzpseawnzq0cfqmff70rpuamzx2ikygs8q7m310vdyvckwfheyqyl,Compressocrat
5QHcqkdsmYSNrdDP8aeyQrQ26Qx3gbs34PyoyGTg5uF3MIflmG9DJ7Tbcp7HtvFzVkbwRwwOtpGrZdOq4y40b8J8rojv5zQifUyH9RN3ORoApKjBt6MvCIinPiLIRZm3itST5H6iB6XjP7K6kue,5tkftngvpbvquggs8dhbtut26ta3jev34sbrbjwj5xi3pliopj9gm7wefs7kwyicynezuzzrwsjucgrt4b40e8m8urmy5ctlixbk9uq3rurdsnmew6pyfllqslolucp3lwvw5k6le6ams7n6nxh,Compressocrat
V705O7VrjXmgilbWNNrMKNoMooRbwfSXEiG2METPxl2yFEikmocAWa7r8AoVQmWnel79C3NFSu3D4pBzXcMV0yUuzN8VKMIHP4TYcHgCD04c4pHIzVcJyHWO9dmsCz4tX0sDkBsN6d,y705r7yumapjloezqqupnqrprruezivahlj2phwsao2bihlnprfdzd7u8drytpzqho79f3qivx3g4secafpy0bxxcq8ynplks4wbfkjfg04f4sklcyfmbkzr9gpvfc4wa0vgnevq6g,Compressocrat
uCblDL5T5m4DfquSP6TYkTUhfhTCOxfHTyUYGN8kyJycXk6vK3Q3jk3jlXTdAttUX9CsOlh5i9maNWqaDF2FIZaM4FpnLQEDACfMMap4JrNOJ00ndljdPwcj2cQK1Mtv6fdgAlkR,xfeogo5w5p4gitxvs6wbnwxkikwfraikwbxbjq8nbmbfan6yn3t3mn3moawgdwwxa9fvrok5l9pdqztdgi2ilcdp4isqothgdfippds4muqrm00qgomgszfm2ftn1pwy6igjdonu,Compressocrat
x5y0eWB1JesEihS3rvHAHnSnNdgKUOHfEUSM7YTsBM2uqHKNw7iNKFHUOFFZl4NoTsmahbDOYhV2nZNAAcvwJZOnaOmSsqYettGJuXahRvvzUKN9b1lmv1v7RE6EZcPiEj,a5b0hze1mhvhlkv3uykdkqvqqgjnxrkihxvp7bwvep2xtknqz7lqnikxriico4qrwvpdkegrbky2qcqddfyzmcrqdrpvvtbhwwjmxadkuyycxnq9e1opy1y7uh6hcfslhm,Compressocrat
jr1bvyOI1kKMylMh3YWtT2uTcrAfF4pxC18tnHtlhxYcXm6fCGbZE5Gjmv7EU3HtXujX3g08HRinUcDyT3Hhat7cR2M3fvD4cgHXQVtbKWtO5numms,Ku8670HDt k21mvg3vW bhflZtncXmjycnCUHac51MAtbHi7HuOWpYGjDMt MTtfE8h4O v3FhEXURQmrlrHG3RtgnItxcjXy3b yY4x5uc2Vs1TCXm3TfK ,Complete Columnar Transposition
wJurj8TZsKpketN5vICdibE5RdgydfBzlTM5LO1SSCNwtv0mTWQZIf7WWDKif0Z6SDgDtRPTXDEo8oj35Nq6xzlS6QvY34uDFbeEhwED2ksXwMKiGgz0TYguJPeYtIDzLApNpJkEyevn0SLB,zmxum8wcvnsnhwq5ylfgleh5ugjbgiecowp5or1vvfqzwy0pwztcli7zzgnli0c6vgjgwuswaghr8rm35qt6acov6tyb34xgiehhkzhg2nvazpnljjc0wbjxmshbwlgcodsqsmnhbhyq0voe,Compressocrat
g0Clt9zeMgR0MX0yuFPQdfn0i4L5WOZaWjQjCIsyNKCmnR4utKY6Rt687BT6wfLaNGz2i2sdx5J9daTJ0wh3s3bpBSLzOuTyzyBInQlEimJy17x1Ajs3QiiaePbjU4FQBifiPZA3D5YSM7BNl,j0fow9chpju0pa0bxistgiq0l4o5zrcdzmtmflvbqnfpqu4xwnb6uw687ew6ziodqjc2l2vga5m9gdwm0zk3v3esevocrxwbcbelqtohlpmb17a1dmv3tlldhsemx4itelilscd3g5bvp7eqo,Compressocrat
7IKxccKETxhLE9SfjUUH2WXrDHfH4NfpEOVQ9QeROIZLtNd5vIXaEDG5EKUvAw9ZsskcS7MVtUYKqdOELkKdQsZVNbsFfiGe2YrqiNrr2qaVhMl6LVjQCxZlqYSpFlZH3cvf9jM7,KEXEZE9tKfrLS9cSDVtGsYQG2jFM7h2fOXAMLsilqvxHNRIv7EbqMlc x9rOLDZUdirVpjcfHQN5sKseqQl7ILWpIawVkFN6YfTU4evUSONrhZ3 Kjf9dEkqZ2aCZ EUHQ5KcdVYVxH ,Complete Columnar Transposition
W0hdkDzEtEV8W7IoyRTyEqjH3Bas7ZCyRu9HR9cg6IOw92BN6P2rvrrZgqPLzDXRVpURLXmHvRSluJaRa1eaAgHgRCwoUsqmcbNfd8MQ51n8MOhT9hf2MiyQW5PKZ9,z0kgngchwhy8z7lrbuwbhtmk3edv7cfbux9ku9fj6lrz92eq6s2uyuucjtsocgauysxuoapkyuvoxmdud1hddjkjufzrxvtpfeqig8pt51q8prkw9ki2plbtz5snc9,Compressocrat
kXerXdyyvdq90qlCeF7mNzlPFgjIXBnNPg6CTqgceeKUqXCb5FjPOa7cQyrjSv5zKaGT8XFEBz2UXZYeIoay9S0XEhKI7wvRtzdO9PfxI29vf1DWXsPmlJc9yQmtSy,XqlNeFrTXSvxXQ e9NBgbQa2y7PD9 yCFgKPSXYXt2Pt XqmXqCcKzaI91c r0znc5yGU9wfWy vFjCqa5EIhdvly kd7ITX7zBoKOfJ yeg6UOvFeEz9mS dlPPejj8Z0RIsm ,Complete Columnar Transposition
ULpFyeYIPtFI91ZC9bcvdvYUczhnZPQHD8R33IjVLo7ecVjFPbE66NcpSPialOd5t0YgDNk1Le00ghFMZNoeZmBvZ1VRzuhRKIiu19YnWcLlveh,xosibhblswil91cf9efygybxfckqcstkg8u33lmyor7hfymiseh66qfsvsldorg5w0bjgqn1oh00jkipcqrhcpeyc1yucxkunllx19bqzfooyhk,Compressocrat
b4Ffaal7fTPL4sASZYXESinjOrHCAp8lNScMlTFN8fO0YtwAaJpmhHgNx3WIGoDXOQnrdmhYjR296EFlkQ7cdPxsnBqvNZ4WDcgVd7IlkYbFGhe5pUCLLuAm,e4iiddo7iwso4vdvcbahvlqmrukfds8oqvfpowiq8ir0bwzddmspkkjqa3zljrgartqugpkbmu296hiont7fgsavqetyqc4zgfjyg7lonbeijkh5sxfooxdp,Compressocrat
Fd4Bjn7NDlyxiDUmOwrmvicSKdrih2DDAkWvo4sMkYYO8N5kKJ2ofA2HF3nLE1DraUBV3ppuBLo57L8j6K5aAccEUXGcBHzEZZS0gCFpfJWaSUA8niwspPfbEQtkTD2KVLbDDXi3TzlY3xODTOa,Dwrv8ADu6XSapDiD NOdWOf1pjUZWsTXO dymh45HaL5cgUfKTOBiiDMK3B5AHF8ELl 4xv2skFUoaBCAbVzaFlrioN2rBKG0SP23TjDcDkJnV7czpnQbY nUSAY2L3LcEfitD3 7mKkYoEp8EZJwkDx ,Complete Columnar Transposition
4vV7dG86Rx4dhyxDNcxxlPJTeJTXnivpIhPEV8WL39SnWVWouw5rGRBrdexwCFGH1hETIR0I5sCNxZR8SZ84em54Dffz5ls99egkrhSjFj3nH8ObsARI7iEwACVPbsmeb3Zo18HPvALvPPYuFLQSH,4yy7gj86ua4gkbagqfaaosmwhmwaqlyslkshy8zo39vqzyzrxz5ujueughazfijk1khwlu0l5vfqacu8vc84hp54giic5ov99hjnukvmim3qk8revdul7lhzdfysevphe3cr18ksydoyssbxiotvk,Compressocrat
9kN7kTIsll1TS5QYjkphcuKiCqxlnJTcQuwjxCIkIth6bz7FXj8D7ujaVIGvPTsE5s8WKQjZKU67CvShUE5ciRJhtbzN1oCwfudMPmLHoY7XrmbfI2CRQ9fGzmFuMMG8d6QxzjT2Bxy,9nq7nwlvoo1wv5tbmnskfxnlftaoqmwftxzmaflnlwk6ec7iam8g7xmdyljyswvh5v8zntmcnx67fyvkxh5flumkwecq1rfzixgpspokrb7aupeil2fut9ijcpixppj8g6tacmw2eab,Compressocrat
skZU5BU5Ai1LMfjntE3Hve79LWyfaAO6rAlJDTKW6iml1ysJFc00t1LtFJVDobYajqt9O1OEhPQ5sAlF6SPpbhWrFeMVxLEKB3qORES0hxGUKb2qkLdjuD4SiwkdrxAO69wdssHO7e,sL7A1ttAFO2wsUjWDJV16VSLrOAHOitaQhBU49 UEaW0bhpExuO BtfKcoEPLhjAe53A60YPbKGD6 5nyTFDOSx0dx7iv6m1j5W3KSw kM9lyF9leRqksZfLJsJOFMEkdH1erlLqsrqbid ,Complete Columnar Transposition
Lw0jaiHsxXFAv66kgnjGo1mY5JNS18H2ITJSWZhAD6eh0i7bEwtSxi0C4MHWvlTtbV0hoi2SjSotinifBSWYhebXEWBcmgcYQGLdEh6qcetQaWgYh6MnL5mlQwbfj2V8r8Lwwk2GXUNpGKeg,skY2AbCtSfXYqYl8Gg Lxg5IDE4bjBEQchQrX avo1W0xvoihmEaLjwG H6mHh70T2ibc6gmV2e 0FjNJetH0oWBLtMbLN wXnJT6wMVSSWGe6w8U i618ZiilineghW52kK jAGSShSWhtYcdQnfwp ,Complete Columnar Transposition
6G2TExSLlCR9gl1wyBnGoAhWuhDhHiFWxTsJUcfuFhysDMVtR1CoJAs2Bm2e51ZE8RxlaRFRgzCHQRfhjzzSLgV75kexmvmM2zho1BUFrWTXLLrWYZP8zwEQM8z,1iDeCkrQ ghymg7Uw SAUoxz2W 6wFM5HeWMxoJCRjMr CuusRLoP TnTREfvL 9DhBRVBz lHs2z5FE RhF2Fg18 GyWV1QxT8LhcJlzzY 2BxtZRmXzEGs18hmL lWfAaShZ ,Complete Columnar Transposition
RblyMRujtNNgWeQWHXFYDmsQFFGqIvZ3IIb8WcB46hyCu2yCDcclJQ3Xt4TkFBitTyFWhKRFQJRIKEEJ2kGdzqFLyNRwXsudbLci1xwZVLbW5OvygBwwAwdQpppPtLf6Se3thvkbIucDQ,ueobpuxmwqqjzhtzkaibgpvtiijtlyc3lle8zfe46kbfx2bfgffomt3aw4wnielwwbizknuitmulnhhm2njgctiobquzavxgeofl1azcyoez5rybjezzdzgtsssswoi6vh3wkynelxfgt,Compressocrat
SRnvFGZWQvkNtxBmFO2Ye12InsqdtKzZoNV9fT2LgLvreKZHEBnwYeP0tGZtBQIumAzqNGDQWJl4bOTH3lKFnQ90V8Dr7OIZN2X6B7KUOdHmxDjpjVRW,vuqyijcztynqwaepir2bh12lqvtgwnccrqy9iw2ojoyuhnckheqzbhs0wjcwetlxpdctqjgtzmo4erwk3oniqt90y8gu7rlcq2a6e7nxrgkpagmsmyuz,Compressocrat
pzphjmbpZ0tDFJBBP5cmkribqYZrQJlP2c9UFYbd35fuMt3e59A5xQQ4fz81U1iphKVG7hHQ1L8X7HqF4fpMhXZuv1LVyZVVp7BnjglnrCAq3LdFIxS8huIBERp9r4Y7jxETx0tbP95Mc1VQZ8dS,scskmpesc0wgimees5fpnuletbcutmos2f9xibeg35ixpw3h59d5att4ic81x1lsknyj7kkt1o8a7kti4ispkacxy1oybcyys7eqmjoqufdt3ogilav8kxlehus9u4b7mahwa0wes95pf1ytc8gv,Compressocrat
a69z76qtf70Wptn34k6COu4ZXPAYcr3f0X8FEVA71vTB460g0kSqGewAMU0JVuDSbWdPPlOCYPiazmOtuKfhkpHTX1PWi2MRAY8uCE3ViqlRL0uZsmfAxlz4y814Kob8b7JPNO,d69c76twi70zswq34n6frx4casdbfu3i0a8ihyd71ywe460j0nvtjhzdpx0myxgvezgssorfbsldcprwxniknskwa1szl2pudb8xfh3yltouo0xcvpidaoc4b814nre8e7msqr,Compressocrat
f9xk8KhaTHBX67D0RFhoTnm830YrsVFyiB2nMn0sURmAlAYjbsqpNC6pxLRPDfaEi3uSzRnTyTBVMqegJddv7pE6wM8Q9ZMTVZcaqGNytzQxi95JcLlqkGF,i9an8nkdwkea67g0uikrwqp830buvyible2qpq0vxupdodbmevtsqf6saousgidhl3xvcuqwbweypthjmggy7sh6zp8t9cpwycfdtjqbwctal95mfootnji,Compressocrat
Vx7Bs54qN1W7qHuB5kuVFW8jJ27QOZCdmjdolcEqkTDBh57FcCwTJFDFh2U3jhwfn3sl1kVG0rK5QLnLaHXKlA6epXFRg4vbsRRhzxL78g1ujbfD1TQEDO9rMQavcPN,ya7ev54tq1z7tkxe5nxyiz8mm27trcfgpmgrofhtnwgek57iffzwmigik2x3mkziq3vo1nyj0un5toqodkanod6hsaiuj4yevuukcao78j1xmeig1wthgr9uptdyfsq,Compressocrat
p9X3zfb2nkyXzsPW9PjhtFZBVZ6t5RMiwQg1xGmFC4yErKMBfWBZxNlBOBfcGvDRoPRTj7FHOPHfsDBf6ZEtjiR5t1pHBsKdJe6cGgGBAgDQUK0qwqLfXGbhV,s9a3cie2qnbacvsz9smkwiceyc6w5uplztj1ajpif4bhunpeizecaqoereifjygursuwm7ikrskivgei6chwmlu5w1skevngmh6fjjjedjgtxn0tztoiajeky,Compressocrat
nlfVMq3RgBIbazhakPEDSz3Q9VMUFtN0NxSR9SRzZtfiiamh0bSm2bnEPjPpB1O2YImftXDjEBbhk5jVSC9FEb3CLpmsK11zdvagO2TBA2FVLMUJscFzFGLUN,qoiypt3ujeledckdnshgvc3t9ypxiwq0qavu9vuccwilldpk0evp2eqhsmsse1r2blpiwagmheekn5myvf9ihe3fospvn11cgydjr2wed2iyopxmvficijoxq,Compressocrat
SBbksUmEwCoGoL6Rv6M21TQDi4sUTy9A18RPVxYEZ2kNnsSVfQEilmkMFgYA8FtpnJdbw4qwRkl035GcZevBhNohJoFqvYwXcX4Jr5j2S3GMQgTd78CZD91WhgYNNY28g0JcGgkOh3,veenvxphzfrjro6uy6p21wtgl4vxwb9d18usyabhc2nqqvvyithlopnpijbd8iwsqmgez4tzuno035jfchyekqrkmritybzafa4mu5m2v3jptjwg78fcg91zkjbqqb28j0mfjjnrk3,Compressocrat
h2mCAXXap1ZEvsGkfrxTWAxOQpjWWHAYoiZBA6A5D82HYRx8bCjXaTZH8efvuzXkBdzWcQ7Pj5KdOTZQ4HsAz4RSJ3tUVu6wa0r5HN6jSzCPn4INYNPCSw,k2pfdaads1chyvjniuawzdartsmzzkdbrlced6d5g82kbua8efmadwck8hiyxcanegczft7sm5ngrwct4kvdc4uvm3wxyx6zd0u5kq6mvcfsq4lqbqsfvz,Compressocrat
vWOkbb4YILqp1XtUBGhUd1xqOGwhdWP8hCtKVaDvpZVLKT58OQI2MowtsQY0TKRiTyHVpguHLm0XxDgjTB1AffdB4iEnCexRHzLJHXz3qLFOBCS78FUA0kjGiFTDi9TG3HhSnDEcVk8Jx68,YBGtLMKuj4zFAiD8k11PvOQHXfez7iH8IGwKKoRHTiLO09E btqhZI0pDdRqFTSxbXx8pQYVxfx38FhJOpdWD8sy0ACXSG3kvLhhVTwiLBEJBkTcWqUda5tTm1nHCjGV4UOCV2TggBHLUDn6,Complete Columnar Transposition
txtsFbYjjYLAd75t4snl0VFahJwe3cAEKtKC5vYyE1U1MiWiGODWCQCj3UufZNQNAyo5zvIc9Q4CVrPf3kTbKOYXTtJPhPJfm9NIKWd9KHmWEG5bhQ7Il9brYnp1T14LCfZIM,wawviebmmbodg75w4vqo0yidkmzh3fdhnwnf5ybbh1x1plzljrgzftfm3xxicqtqdbr5cylf9t4fyusi3nwenrbawwmsksmip9qlnzg9nkpzhj5ekt7lo9eubqs1w14oficlp,Compressocrat
fhgIksjlqXfjt8ARkdN9ulbTdtygujA5uqy805hdmpWMLpFGWGy8hrduDJAeEbAOo64brJ9LRgpWJPYitKACf2OGnY9jxIkYpI8B96JCca0D91NsPkad76ErMq1Ryw,ikjlnvmotaimw8dungq9xoewgwbjxmd5xtb805kgpszposijzjb8kugxgmdhhedrr64eum9oujszmsblwndfi2rjqb9malnbsl8e96mffd0g91qvsndg76hupt1ubz,Compressocrat
1iUJr4BnNG9Zu4R8vOqWTCrpQuvnD9Mvb6SiP7aMEa5aRlAJ5STFWzIfY4PPeIb510QCRhw0y0Mwyl1XZSahDx7mCaoVbWrR6Twmf0NOtZTooF9xcrF5T,nq9EFb0DRT 4vnaSe0aWt59CbaI0ymwF GTv5z1w7To r8v75PwSbOFU4QiA4RXo0cNWMaW5Mx6o iupSlYC1afxBODMTIyhrZTJRuPJPhZVNr1Zr6RfQlCm9,Complete Columnar Transposition
LiVeiq7K2o4HUYrm2RbSRINqRJ4Da8BPR8Pd28uB2ArhRHDFxHWc4Uodr6AICuazmvf4KZbVoSB9e6pmkvteOOgbEBZbLZO7v1qpgEp9v1d0vHYp8e,olyhlt7n2r4kxbup2uevulqtum4gd8esu8sg28xe2dukukgiakzf4xrgu6dlfxdcpyi4nceyrve9h6spnywhrrjeheceocr7y1tsjhs9y1g0ykbs8h,Compressocrat
tNOBegRdJds2yzgNWAo3MYQNaDyDYB4NNgvP8RYbDHvLmggaMTeLY1m5KiOGqwAEUNClpiZcditLBG9PWwtL4IXjjEtMvsxaHLQRjdpG01J2dBwmm,wqrehjugmgv2bcjqzdr3pbtqdgbgbe4qqjys8ubegkyopjjdpwhob1p5nlrjtzdhxqfoslcfglwoej9szzwo4lammhwpyvadkotumgsj01m2gezpp,Compressocrat
vkgD4Y6cFo6aOoSoDNnpEVX80vZVynzl0axaewbJhjsCmOL6Wxcbmmslo4qUlv2Jplmbl1q6gb1RiyPY4hv7ntDpxZxQk8HZN4B4Tehj47iYmmIySxuMBOp6cWNLm2IsYjupdOYr,ynjg4b6fir6drrvrgqqshya80ycybqco0dadhzemkmvfpro6zafeppvor4txoy2msopeo1t6je1ulbsb4ky7qwgsacatn8kcq4e4whkm47lbpplbvaxpers6fzqop2lvbmxsgrbu,Compressocrat
HDluTxHSET9FErLzO6YLPcno5mC3pzntB4yKk71xqJfiWfsCHwoLcDGNvBCDBAxZFuryblCoqPew5fs1GGIPfYr7oghexcImvmRvqtV0XR2rmTMi2WTVI6qaXts0wYz8z0LWPaEPGW8j3,kgoxwakvhw9ihuocr6bosfqr5pf3scqwe4bnn71atmilzivfkzrofgjqyefgedacixubeofrtshz5iv1jjlsibu7rjkhaflpypuytwy0au2upwpl2zwyl6tdawv0zbc8c0ozsdhsjz8m3,Compressocrat
nCC2JbxiK3it8VaFZQ1wvoABRWzWXSItuLbKYc7ij8vKOZM6MK3zyn8zeIymEgvK9CO5tfkgRJlc0SMFblme69ysnosQHeDdxHaku36AzkhiIAEVey953ni3ntB0TQEkMK8tLmGT,8WvIRs6nL bvK3CbdEQ 3Ri8f6k9K iWjzk9u58 KB7nteayM tz8egy33t aSOmloz3G VXKyJnAim xoYzOlxVE CZtMg0Qht iAcy5mHek CQu6vSHiB nFIZEcsknT21LMKMeI0 JwbK9FDAT ,Complete Columnar Transposition
sP46DwS1TYtzN0Z2lApl5NUBDy6QlSKgzS8cp43kr4OIsQ6eSUU5n6FAWJhxeWgGXXuACkqnGcDbeOSRVDyvVz2mzcaqhT6iuQVDFDefJQpT8CiE0r1,Sl6p6Wue2up w2ycQAXbziQ DZD8sFXDV6J160BSI6GcvTfrTpl3ShCSzV8 YlSkUxkRcDC 1AQ4eJAOmQT PzNg45WnDqDEst5KrUeqVaFi4NUzOngGyhe0,Complete Columnar Transposition
jCwlnTc5RInCSd1OZHPQTQ5gyStCdMadXyXm7px6pmfbAbav0mRQeo94gZ11QkUkcAGg0uuJOmNn7Iz8BhongwulazPuaynDoeQ0rPNxce4nAtXMFgTIY72Kkq9gMuO,mfzoqwf5ulqfvg1rckstwt5jbvwfgpdgabap7sa6spiededy0puthr94jc11tnxnfdjj0xxmrpqq7lc8ekrqjzxodcsxdbqgrht0usqafh4qdwapijwlb72nnt9jpxr,Compressocrat
GOVoGLTaobNW5htpVBWpNfdixFsmjynPcp7UM8CV4viruPYWcHYAP0sWbo2UvvpnId66QpZRSUoM3yHulCOae3Fe9mdOj8niflLJ1Y7npGfBUDtkUmpBlMptsKC9Omr3YEf8xz,jryrjowdreqz5kwsyezsqiglaivpmbqsfs7xp8fy4yluxsbzfkbds0vzer2xyysqlg66tscuvxrp3bkxofrdh3ih9pgrm8qlioom1b7qsjiexgwnxpseopswvnf9rpu3bhi8ac,Compressocrat
IjJUlqyDtDsyJMEeviTEmj6maa3GUUxFz7A8zVxyFtPLeA4c6hy7KkmWB9qX6WUwGTFOSxSdPy7BVppEc60xOTRbSQPjqMD8RjqpML8Q1kahXfPT6yzTL5fH6m4Bk1BqStG9IQ4yLtUAW47U3fgO,lmmxotbgwgvbmphhylwhpm6pdd3jxxaic7d8cyabiwsohd4f6kb7nnpze9ta6zxzjwirvavgsb7eysshf60arwuevtsmtpg8umtspo8t1ndkaisw6bcwo5ik6p4en1etvwj9lt4bowxdz47x3ijr,Compressocrat
UBklxlTimFlG8hCK0nlmdVlZWmq53ACO6Ng3OkfsfyhrevbLpEFRWgadrW9aQLYcgnHYayMH9Wr7FEWvMBvxR4vu0p8xQzyNdw3vZgaD3SzU147ibMh3Hr8SW0pxCNRQ,xenoaowlpioj8kfn0qopgyoczpt53dfr6qj3rnivibkuhyeoshiuzjdguz9dtobfjqkbdbpk9zu7ihzypeyau4yx0s8atcbqgz3ycjdg3vcx147lepk3ku8vz0safqut,Compressocrat
YfwB8787EQ2S5gUysMmTj3H4KY2TGciFYft1RJ3Dk5C9hEQIppnkW8QSfgBTbk77u5yXroUqQE85QhQi7IOUFfYSv3o7KX7MePvy6TVVUyPPYJ92BZooqhsfhfvVL7mV8hKxi2u9yKVatdLIm2yBu,bize8787ht2v5jxbvppwm3k4nb2wjflibiw1um3gn5f9khtlssqnz8tvijewen77x5baurxtth85tktl7lrxiibvy3r7na7phsyb6wyyxbssbm92ecrrtkvikiyyo7py8knal2x9bnydwgolp2bex,Compressocrat
FRDjMsjVQ2Z0ScMutGShr2TKEO1nFsT9ydZvj0Tn2U7ZoSVd73Xl2FUzt0Q62kbJzvBREwWzzeHUssS7mS2JzgiuWYL3Zd27TtDPkKiCSEs5jnnZVmVPaxU2KgRY,R029UlkzS3KZgMMEZoUzHz2SV suOvSzvUg7EP jcKdZFJeJdCmYVGn0d0Rsut5x QSFT7QESWDjU FZrT2X2WmLknKDSTy72bz2ZiVR2hsn36w7YPn2 jt1jVtBsiTsa ,Complete Columnar Transposition
PvLBjOUzpchpzFtSM9lPVyXSYQQfXD30PyrOPCxahhfhFPQ6GobLKKErSVgYLlyEPSBtKigueT63YIlz0SbzJ0IYZHFeH1LIT0YPhWWn9Q5hl3MSlaJCZuhciKnPkfJq2WcfhGtx9IkB8Q,OFyDCPKliI01W3ufGQvc9QyhoVSTSH0QaKWIzSS0a6rEuzYInScqx UtX3xQEyglILWMhJt jzVXPFKLKYJHhlZkh8PpMYPhGSPe0ZT9li29LhlQrfbgB6bFY5JnckBpPfOhLYt3zePhCPfB,Complete Columnar Transposition
FSuH6wMIGnSgQ0cpcmjt21n9iMJnLwriUNBeJqqyP5kzDf8qRB8SjIneOUrOSPmTxKQP0GMkA0juYByb9MperhIhRJAevOfx6vXrj3Zoragyoy8gY7hlHU4tL0ZFgHwSK3sJrMg5dku8WylwZV,QJPn0p68gu SiqjQ9foZd 0n5eGevgH8 HmifO0h3l3wM2BRmYAr4r SpwzUkhr7SywtNqPuJoUJVgMyIPMxyFk GnJ8xyvgLg FcLkOMrXYwW6jU8SjRZHsZucrDrAIjhKln9qSKbOy05 I1eBTBeatM ,Complete Columnar Transposition
xTXpRMATDlCwZDGsr8BH8T470otO2f8tAXu2fOfeUp8fkKdfVsJ7FZ3a98BRG7UiEFGRR4IShzaNm61VaTBSIVwpVQ86048HRMcMC9kR74WH5olex1iGw8dBFykxhv6Rp1I2X2hstEsqnaVOKzn7t7,awasupdwgofzcgjvu8ek8w470rwr2i8wdax2irihxs8inngiyvm7ic3d98euj7xlhijuu4lvkcdqp61ydwevlyzsyt86048kupfpf9nu74zk5roha1ljz8geibnaky6us1l2a2kvwhvtqdyrncq7w7,Compressocrat
wgaw4UlzwagBFmfHG5jAh6FajXQqoEzxtxB5lIZrgCQ1CkiwVBaw43TmhmscizAVv5ckQm8E9QrhAFJFZRTiuWWX4zGU7V10yih9gYbijwGaXRpdR1vBMVaBEssFfWBpN,UHX5km5hW0wBWz5qIwmkFXiaVp4fjBCTvru1jvfgB6xCwzERUYdslGQlihcAWyGMBwghzgai8ZGgpEaAErBcmFz9RB wmax13VQiVi1FaFFtQ4A9T7bRswjoZVsQJ4hXaN,Complete Columnar Transposition
TYZgSUGNlm2LOOjohizcrm7jBbNmf3dyAHtSOoovBEdGBPdthrxr8wTApu5dlcadQVunsEr6MgBlq8FxvthgQaRJX3ivxVZxVXLHMxpPrnLyf4giOVMhcL964P0mmTC7ge8INvtUEWmI,mc3vrdEx3H46eI GhNOdpuqRVLcCE YLmyErc6tvxiPI UobSPAVlaxnhTU lzfoh5sFXLf9gm SjBtBTQBQZrMmt Nimotun8JXyL7W gOjHGwdggVPVmv ZO7Ad8aMhxpO0N T2rdBxlrviMg48 ,Complete Columnar Transposition
